"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x10fcae0517aca0076c46c90022386178910bef0069acf03cb1606959551abb3b","15358170","1660731781","2022-08-17 10:23:01","0x2686a8919df194aa7673244549e68d42c1685d03","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","250,000","$250,059.71","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xb1044b884b7b0cc854d9deee1c3452e27fce9d22d14306ba1a83aa6034dadce5","15822469","1666669223","2022-10-25 03:40:23","0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","441.755207557784083757","N/A","0x5afe3855358e112b5647b952709e6165e1c1eeee","Safe Token","SAFE"
"0xa623c252e33909cdd11d1d566bd2d162820f9a722642246c82441ddf2e409aae","15918000","1667822339","2022-11-07 11:58:59","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","7,000","N/A","0x956f824b5a37673c6fc4a6904186cb3ba499349b","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x34a16db697e70ff3275f15387c240707e6edd5e76843fb54cd0f7cf42fcd7663","15946772","1668169691","2022-11-11 12:28:11","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","7,000","N/A","0x68ca006db91312cd60a2238ce775be5f9f738bba","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xd0d15b53052c2ec5fcbc2611f1defa6d9ac676cb8cb746a4d640709ed2f1d5d9","16262913","1671985211","2022-12-25 16:20:11","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","7,000","N/A","0x643695d282f6ba237afe27ffe0acd89a86b50d3e","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xbe034634c20ed5559a99880d4c10252aa808e9e4662fa39e3a98aace7a8c1adc","16345039","1672975463","2023-01-06 03:24:23","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","0x1f28ed9d4792a567dad779235c2b766ab84d8e33","10,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1936ec27ecf65866bf9ef1c47a03afbced34ffba6f6323a28eac607042500415","16544955","1675387307","2023-02-03 01:21:47","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","0x66f67fcdcae52da08440f91688a6805ade0c9755","20,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x4030a1a41b341cfeadd6f4fc0fcfe93937f7b7076a14123f3c12cf460463ec10","16544957","1675387331","2023-02-03 01:22:11","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","0x7cfed2a2d4a98680dac6aa55120f5af2ec562ebd","6,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xee603d1103cd66712697b0cfcd3f40abc54490b9970d9c1b39e0eecdfdcfbf0f","16921623","1679955323","2023-03-27 22:15:23","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","0x960ac202559ed6f58e8115bbac1e0bd39f42119f","100,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xabb6448106e73fd347bf24645f9c52ed81c20fe9d2303eb5ae1372f9c0449209","17180534","1683121007","2023-05-03 13:36:47","0x55fe002aeff02f77364de339a1292923a15844b8","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","100,000","N/A","0xa6de609807c7258a0d34f5307c1808f062a59794","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xb3bb31e6b05c96758e34c3e418cd2d01d52112389f4b79e3a3c6ffc962d640e2","17826965","1690975091","2023-08-02 11:18:11","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","0xaedd76e8e68edac3ee0bfc75b02161e0e3bdaca5","100,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x7365d8f985442c9316273d1469764cedd763f17005230b8342233cb942a11cce","18301495","1696716527","2023-10-07 22:08:47","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","3,999.99","N/A","0x0f2e0a2323683dd67a0a98550cacd1a2b68c762d","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xd919963af6074db9bfe393da0286853a70f23e75e4a4a947a398acd9c02cef0f","18392087","1697811587","2023-10-20 14:19:47","0xc0fde70a65c7569fe919be57492228dee8cdb585","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","222.327782222206013136","N/A","0x5afe3855358e112b5647b952709e6165e1c1eeee","Safe Token","SAFE"
"0xd919963af6074db9bfe393da0286853a70f23e75e4a4a947a398acd9c02cef0f","18392087","1697811587","2023-10-20 14:19:47","0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","106.955152524136143593","N/A","0x5afe3855358e112b5647b952709e6165e1c1eeee","Safe Token","SAFE"
"0x239d7fcd5704d275d3f7c692d9af89e937fea7ea3c002cecaa15fd6023dc538a","18723314","1701817595","2023-12-05 23:06:35","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","0xaed3507030170846c248ebbf03037e6d58bdaca5","100,000","N/A","0x1bdfb4a34ac73503b320a1e95875b9ed9ec082ff","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x68ab9c6baa0a985bc289a6ab9c3623cd16d02500136ee6383030440521e85f54","18962127","1704714839","2024-01-08 11:53:59","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","0x91c32893216de3ea0a55abb9851f581d4503d39b","14,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xb51bd4968deafe26e5e7830cbb5b56cd4667a2c995c6637e6bef88cd06888139","18967276","1704777455","2024-01-09 05:17:35","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xb3a37c813d3d365a03dd1dd3e68cc11af019cdd6","3,999.99","N/A","0x570ec272f07c563860477dcafb04a04ffd2979a1","ERC-20 TOKEN*","ERC-20 TOKEN*"
