"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x6961d431f87fb4bcee0dbaf39efea69c21eb60b9f2a94d5cbfd6bfcc3f15ecec","15393510","1661215451","2022-08-23 00:44:11","0x2686a8919df194aa7673244549e68d42c1685d03","0x6a016548310076285668e2378df70bd545396b5a","50,000","$49,990.43","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x6961d431f87fb4bcee0dbaf39efea69c21eb60b9f2a94d5cbfd6bfcc3f15ecec","15393510","1661215451","2022-08-23 00:44:11","0x2686a8919df194aa7673244549e68d42c1685d03","0x6a016548310076285668e2378df70bd545396b5a","2,000","$27,259.46","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x1870e63e65d2a6e3c605707d79271efabe622af415b2fec0715ba33509c37a95","15400425","1661309829","2022-08-24 02:57:09","0x9d551f41fed6fc27b719777c224dfecce170004d","0x6a016548310076285668e2378df70bd545396b5a","3,500","N/A","0xa08891636ba65305420faa600fdcca2476bb4613","forkSurvey.com","forkSurvey.com"
"0xcfc65c069fc736d06787a22a0060be428ce5c0b37c61c471671038abcfbd0859","15406390","1661392302","2022-08-25 01:51:42","0xdf5faa56443098af17baffc510da8dee34b0e75c","0x6a016548310076285668e2378df70bd545396b5a","17,750,000","N/A","0xd8a27727da222a1e4751da06a0e42305b32e3870","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x01e6a2a0788531e49a4dd8558e874efa03850ce52e047b8ed2ff0f83bb7a566f","15420494","1661588583","2022-08-27 08:23:03","0xdf5faa56443098af17baffc510da8dee34b0e75c","0x6a016548310076285668e2378df70bd545396b5a","350","N/A","0x1f068a896560632a4d2e05044bd7f03834f1a465","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x941f60f6fb8b5cc23d8366dbc2819568fa992c3616a2b145436764ab8a129cf8","15557833","1663472627","2022-09-18 03:43:47","0xe56df19db77c4f96006faf06f94beda3946918cb","0x6a016548310076285668e2378df70bd545396b5a","600,000","N/A","0xa6d1537b3699905ac18a10718b282661425fd662","amto.site","amto.site"
"0x9caa5e87a20567aa964c9325536fe0325be7ed1238f83842f9d0b27fa087515d","15635065","1664407019","2022-09-28 23:16:59","0x24b9f6ce8370a25104699682d878ad32f035956c","0x6a016548310076285668e2378df70bd545396b5a","350,000","N/A","0xb688d06d858e092ebb145394a1ba08c7a10e1f56","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xd44e2fc6c35d5cb4f8f3f5e0dc318c88a60d3a943c1c84c3aca580e82452a471","15816824","1666600739","2022-10-24 08:38:59","0x53d0e83b0ff7662e6e3602432d333e86c977f079","0x6a016548310076285668e2378df70bd545396b5a","400,000","N/A","0x2c721dcc1b6bd78f1d43769d0a6375083afd673f","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xa5ae85598cd114586391cb574aa4832bb3226b65e90b1f60b4bcd5c1cca004bf","15883826","1667410091","2022-11-02 17:28:11","0x6a016548310076285668e2378df70bd545396b5a","0x8b1f85a93ac6e4f62695ea8ef2410d248605feff","10,000","$9,992.03","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xf5d12ff908095911f838fc497bca012cf0fcb61797c2a0e965674b8716312a2c","15904862","1667663951","2022-11-05 15:59:11","0x4e7ec5c35cfc4411d8fefded9c122611236f7a83","0x6a016548310076285668e2378df70bd545396b5a","16,000","N/A","0x8e1f8d9713cb53f1bf33ca563aeffa307defd370","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x7cebbfd1c4d132e63b27beaca80d063a2e4aad893fa65f625209d9d4137abdc4","15918030","1667822699","2022-11-07 12:04:59","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0x6a016548310076285668e2378df70bd545396b5a","7,000","N/A","0x956f824b5a37673c6fc4a6904186cb3ba499349b","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x03e1dda6075ba31c71ac8bb32e24164d66b8dc3e7bf021c544c72f19037e51e9","15946731","1668169175","2022-11-11 12:19:35","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0x6a016548310076285668e2378df70bd545396b5a","7,000","N/A","0x68ca006db91312cd60a2238ce775be5f9f738bba","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x03661eb2dd4c7b81268127715481fb43b5c0396439ed6f61793bfc393323589b","16008467","1668913979","2022-11-20 03:12:59","0xbb9edb18051de2984cde480531ca23e16877e6f2","0x6a016548310076285668e2378df70bd545396b5a","320,000","N/A","0xeda14d64817714cb986b881e1a70f50587a813fa","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xf35632f58a94d03dee7edbad0d902f583cceb4184c2ec14eed64bb8432786d6c","16027095","1669138859","2022-11-22 17:40:59","0x6a016548310076285668e2378df70bd545396b5a","0xed03c484f4e22095ca89bf41c2eb2c4b23a443bd","4,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xae57210f42d24f121d8939a3eab992348981efb1e11279fbc8bc3dac91cc0c3a","16047076","1669380203","2022-11-25 12:43:23","0x7951c7ef839e26f63da87a42c9a87986507f1c07","0x6a016548310076285668e2378df70bd545396b5a","8","N/A","0x27ed436e67515c1dd33633537eebd59207c51806","ERC-20 TOKEN*","ERC-20 TOKEN*"
