"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x315bdd84efb4afe70c4fa0b0845c2ce1bc8dfe597978693aeeda86e98bf00e9f","15053668","1656639276","2022-07-01 01:34:36","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211","3,000","$3,002.78","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x315bdd84efb4afe70c4fa0b0845c2ce1bc8dfe597978693aeeda86e98bf00e9f","15053668","1656639276","2022-07-01 01:34:36","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x48dbb9b7b562acf3c38e53deaff4686e24c3d85d","1,000","$1,000.93","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x315bdd84efb4afe70c4fa0b0845c2ce1bc8dfe597978693aeeda86e98bf00e9f","15053668","1656639276","2022-07-01 01:34:36","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0xa7860e99e3ce0752d1ac53b974e309fff80277c6","1,000","$1,000.93","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x23219567ab3a508a498f35e985864970e3be7f4fbc966ab6591d46c95da89693","15053681","1656639411","2022-07-01 01:36:51","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x1d921dff757610fbdb0073479e12c0a07d382677","300","$300.28","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x127c498076edeb7ef3585468b178000d4495cdb75b17257f2f5f9421cdbc85ef","15053738","1656640136","2022-07-01 01:48:56","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211","338","$338.31","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xda9e8e12eda93d9b26610b1685f04f8ce1508c7e4e0b905570e82e0b5174a69b","15053786","1656640860","2022-07-01 02:01:00","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x4bf91763cea52fe111c26e43c5936886583c5a37","400","$400.37","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x5c69b52be6c7b29adc33623c2e5598b110b2e2e2605af3d38a30dd09c7f56ce6","15053790","1656640910","2022-07-01 02:01:50","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x1d921dff757610fbdb0073479e12c0a07d382677","170","$170.16","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x68646dbe6e474d3f8233484d10c612cd0ca5f2b80b8ba2866e9de0b3f1fd4fec","15063018","1656763781","2022-07-02 12:09:41","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0xd07f6d1547a7a82a654ebc1f77091370906474d0","2,750","$2,753.74","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xfce55b830924c26ce9f086d813af48949a57051890f634238652db4e438aedc3","15063021","1656763850","2022-07-02 12:10:50","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x4bf91763cea52fe111c26e43c5936886583c5a37","50","$50.07","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x609bf7f3f19a3ee1a89674acccdcfeb0b009e6b725493d30dfc9eb54e436861f","15063037","1656764062","2022-07-02 12:14:22","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0xe8929029ea54113da91cdb8c9c1ba297cf803838","2,000","$2,002.72","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x8df2ce56499389e5fe0af71115e2d13ca29b7c62ecbac2cba83a8e41f7aa689c","15063051","1656764246","2022-07-02 12:17:26","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x5d609c79c7e19aa334d77517b3b17a3dac6f54bc","1,000","$1,001.36","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xce7c5e993f1c68ef6233f09e943a7820a0d30903b856f146a0b0bbf0dd530f60","15065117","1656791933","2022-07-02 19:58:53","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x536013c57daf01d78e8a70cad1b1abada9411819","14,200","$14,219.31","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xcc2c63bdccaebf0e5fe92ac81b0647160f36891e70b9ba01cb10811d7d0de701","15065214","1656793329","2022-07-02 20:22:09","0x82eb45562f991329ed2867f43fc60f0ba52c3dab","0x9718ba71dc1284842fce66dc3e34dffc6c630074","3.149045","$3.15","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x9bf05272c1debfd466109f0dc99f6aac323934ee04b92a8cffb8720ff8bbf0c1","15067883","1656828978","2022-07-03 06:16:18","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x2686a8919df194aa7673244549e68d42c1685d03","486","$4,332.47","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x9bf05272c1debfd466109f0dc99f6aac323934ee04b92a8cffb8720ff8bbf0c1","15067883","1656828978","2022-07-03 06:16:18","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x2686a8919df194aa7673244549e68d42c1685d03","1,083","$1,085.03","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x2930846bf5fe2844d4a5d280ae54753a6265f2f75b576945fdd268fc863b43e9","15347714","1660590129","2022-08-15 19:02:09","0x2686a8919df194aa7673244549e68d42c1685d03","0x9718ba71dc1284842fce66dc3e34dffc6c630074","10,000","$149,998.63","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x2930846bf5fe2844d4a5d280ae54753a6265f2f75b576945fdd268fc863b43e9","15347714","1660590129","2022-08-15 19:02:09","0x2686a8919df194aa7673244549e68d42c1685d03","0x9718ba71dc1284842fce66dc3e34dffc6c630074","55,000","$55,026.31","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x6649b1f557f4bfa34a7a6274fe5bad517de55a9dc180dd5d23051442091b54e1","15367952","1660865744","2022-08-18 23:35:44","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x4bf91763cea52fe111c26e43c5936886583c5a37","1,200.840588","$1,201.18","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x182c37099785826fb28753a97075fbd01d10bca9647aba2889ae632b434c42bb","15367985","1660866134","2022-08-18 23:42:14","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x1d921dff757610fbdb0073479e12c0a07d382677","330","$330.09","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xe4db5e01f272939e17d08266519006313bfadcb88acd2be9f6b098d57500df5d","15400817","1661315088","2022-08-24 04:24:48","0x9d551f41fed6fc27b719777c224dfecce170004d","0x9718ba71dc1284842fce66dc3e34dffc6c630074","3,534","N/A","0xa08891636ba65305420faa600fdcca2476bb4613","forkSurvey.com","forkSurvey.com"
"0x5c7a6dec96ac5dcdd7b1231b361f2adde00790e7ab0a7152034d9e3bde4042aa","15407693","1661410999","2022-08-25 07:03:19","0xdf5faa56443098af17baffc510da8dee34b0e75c","0x9718ba71dc1284842fce66dc3e34dffc6c630074","18,982,954","N/A","0xecf0de4c8498cfd686e4702d955426b22d812d6b","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xb5ed18ef0f51dcd30cd28c237baa3578df96d0196c6c1b1e12dbbef540237b36","15443576","1661907103","2022-08-31 00:51:43","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0xcef0b1bbec22edc3d07eac2f5f1053359a96a5e2","650","$648.99","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xb5ed18ef0f51dcd30cd28c237baa3578df96d0196c6c1b1e12dbbef540237b36","15443576","1661907103","2022-08-31 00:51:43","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0x53c3f34edbb06edac0c42006d3db15936b6d146f","650","$648.99","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xb38313d304d58350b117a23ca4ea30498482f159844c47ffe9f03a64103edabb","15573931","1663667663","2022-09-20 09:54:23","0x00b8bd6d6f3964418d8b03245ac4a86a208dd3bc","0x9718ba71dc1284842fce66dc3e34dffc6c630074","626,077","N/A","0x3654746ce159ba2fcdf926133d51ecbb85f19288","bppo.site","bppo.site"
