"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af","14491291","1648693789","2022-03-31 02:29:49","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0x2686a8919df194aa7673244549e68d42c1685d03","127,500","$128,461.33","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af","14491291","1648693789","2022-03-31 02:29:49","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0x2686a8919df194aa7673244549e68d42c1685d03","6,500","$116,788.62","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0xc6fc145016ca50d3c7fbded8037d3ecd16620a56183a15a51a775f051edd3aa5","14502498","1648844569","2022-04-01 20:22:49","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0x2686a8919df194aa7673244549e68d42c1685d03","250,000","$251,898.04","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x30f15fbdd9eaa2989625790b4349a786582125001d48d7ccf183678ff8ba6abd","14610916","1650308730","2022-04-18 19:05:30","0x2686a8919df194aa7673244549e68d42c1685d03","0x328ebc7bb2ca4bf4216863042a960e3c64ed4c10","45,000","$44,962.67","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x922d0ac2fa1d1788209445b71f849512cd1eccb42dce8d5c6d4567601e922ea6","14657138","1650935273","2022-04-26 01:07:53","0x2686a8919df194aa7673244549e68d42c1685d03","0x20ca5e93db3cfec02407467945b991f544e8f7a5","15,000","$14,969.01","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xe0081485f9ee1b75ea0c44279e1a63482a85ddfc8d26320f05ac3b31bbe518b2","14657147","1650935386","2022-04-26 01:09:46","0x2686a8919df194aa7673244549e68d42c1685d03","0xf0ad05cbada6db46efb68f46caf9648ada9b9ca6","100","$1,431.50","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x7021bcee453664bcae2a8a2d56c184674cd27d1c85da13a73d7012bb075b664d","14657151","1650935435","2022-04-26 01:10:35","0x2686a8919df194aa7673244549e68d42c1685d03","0xbd7d47df9e4890305ba2d43f90b3c63ca40debef","100","$1,431.50","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x9fc2812533dcd1cbf81f3fdf00eb3ec5f391ad183823831b1cf25bd0566fb65a","14657159","1650935545","2022-04-26 01:12:25","0x2686a8919df194aa7673244549e68d42c1685d03","0xb352bb4e2a4f27683435f153a259f1b207218b1b","4,000","$3,991.73","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x515f65c41ae7e8d3870145b57d4727b6ed5cf9ec10769c87c3cabe2b3287d2e9","14675071","1651179281","2022-04-28 20:54:41","0x0904dac3347ea47d208f3fd67402d039a3b99859","0x2686a8919df194aa7673244549e68d42c1685d03","4.357723588023700598","N/A","0xd326a913aa30d3a89404e857de0fb988522b42cc","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x78473dbf2ab8912330e86353359101d41c6a58eb9cdbc51047cf13bbf9758b23","14740203","1652069002","2022-05-09 04:03:22","0x2686a8919df194aa7673244549e68d42c1685d03","0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff","7,000","$6,994.42","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
