"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x6fc0884c6ca5fb6dadfd7a316e42ff16c5e1c92e59a87370002f02cf071e8722","15491222","1662566257","2022-09-07 15:57:37","0x91c32893216de3ea0a55abb9851f581d4503d39b","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","48,500","$48,492.38","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x6fc0884c6ca5fb6dadfd7a316e42ff16c5e1c92e59a87370002f02cf071e8722","15491222","1662566257","2022-09-07 15:57:37","0x91c32893216de3ea0a55abb9851f581d4503d39b","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","7,250","$107,249.00","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x080d1e45b5fde55cf6bb742cc325eef2f6a1dfb56a0b7409fe4e2c5aba13e9a9","15557309","1663466291","2022-09-18 01:58:11","0x904b32e0d55b2de8ec68e874f68121b1f9e0fc57","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","582,000","N/A","0x7d593cc8e0b8cebf645342aaff5631e689fb5249","apop.site","apop.site"
"0x993f1c58e39d9fba2834622089cd337e1ff576b0ab24a61f5ab63ec300e74da8","15565969","1663571183","2022-09-19 07:06:23","0xe56df19db77c4f96006faf06f94beda3946918cb","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","582,000","N/A","0x3e67a4d218061263202c1480ddb479080c59dd0e","apod.site","apod.site"
"0x9d38c4cf824aaa858a4e0913baea412113f4ef8eb0827f66bc9643de0c66e3d0","15635085","1664407259","2022-09-28 23:20:59","0x24b9f6ce8370a25104699682d878ad32f035956c","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","339,500","N/A","0xb688d06d858e092ebb145394a1ba08c7a10e1f56","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x2b9609643c6791f35a3592b631a4b924eec356375db6ae8d50c9d172219e9803","15816876","1666601363","2022-10-24 08:49:23","0x53d0e83b0ff7662e6e3602432d333e86c977f079","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","388,000","N/A","0x2c721dcc1b6bd78f1d43769d0a6375083afd673f","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x6c4aa2697e9aea66e32c0920aee9c8f674bab44e35ca93ae17273ed9ecc65e36","15904862","1667663951","2022-11-05 15:59:11","0x4e7ec5c35cfc4411d8fefded9c122611236f7a83","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","57,999","N/A","0x8e1f8d9713cb53f1bf33ca563aeffa307defd370","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x667a9c8ce4810359043e52306b4c48597c034246c8da9bf137f2e61af434b01c","15918025","1667822639","2022-11-07 12:03:59","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","7,000","N/A","0x956f824b5a37673c6fc4a6904186cb3ba499349b","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xb4a0cec61da68212d48b44c20850d1a0d2ac7c35692f10bd26df9dc883703a8a","15946715","1668168983","2022-11-11 12:16:23","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","7,000","N/A","0x68ca006db91312cd60a2238ce775be5f9f738bba","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x2a0b057b6d9938d9ce8e135021a7c6f65824fd2f6a3b5f4497b26569568efd9f","16008496","1668914327","2022-11-20 03:18:47","0x92d75121f50f0e91082ddaa901be4d784c42b81d","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","388,000","N/A","0xb2c3a55ea8b15d0f17df2fe4ac6a6f4c76f4a1c6","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xfbea54dd98cf1a385ffdedf01230de1864620cdfbeac292902efa04fbc61439d","16047087","1669380335","2022-11-25 12:45:35","0x7951c7ef839e26f63da87a42c9a87986507f1c07","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","8","N/A","0x27ed436e67515c1dd33633537eebd59207c51806","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xe7968d8640aac62b612053d1a26a80175c4e52859346a4e95b3cdc8eae92614a","16262855","1671984515","2022-12-25 16:08:35","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","7,000","N/A","0x643695d282f6ba237afe27ffe0acd89a86b50d3e","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x8a7a6cf4b729f3caf234bf71c39a303dcb94268ad7d2d4521e564aac945b9b03","16341480","1672932431","2023-01-05 15:27:11","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","0xb3a880d667fb664a7e4929f83002b4bad0321653","500","$5,663.50","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x8a7a6cf4b729f3caf234bf71c39a303dcb94268ad7d2d4521e564aac945b9b03","16341480","1672932431","2023-01-05 15:27:11","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6","500","$5,663.50","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x8a7a6cf4b729f3caf234bf71c39a303dcb94268ad7d2d4521e564aac945b9b03","16341480","1672932431","2023-01-05 15:27:11","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","0xd2cc2e47c2aecd01c87b83290c0ee76ba67a7211","2,000","$22,654.00","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x8a7a6cf4b729f3caf234bf71c39a303dcb94268ad7d2d4521e564aac945b9b03","16341480","1672932431","2023-01-05 15:27:11","0x4f4cadb8af8f1d463240c2b93952d8a16688a818","0xb9a0fb254aea7bcec79c7bd8052dcd902a5388ff","3,000","$33,981.00","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
