"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af","14491291","1648693789","2022-03-31 02:29:49","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","100,000","$100,753.99","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x7769cd8721ba4c6404d7d8adf72872fb83f095c60a288448a5f491511108a400","14844515","1653518868","2022-05-25 22:47:48","0x8734dc0ac11c9c059ab55233d34a230a5b9c6be4","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","100,000,000","N/A","0x0469dfb82a816c5f0a566625cec09216a721e90e","ERC-20: LikeButton.eth","❤️"
"0x24b7223f38c76b0725893dddaf6d358ddd611ba57c77043cedaaaf9141418b00","14849083","1653583636","2022-05-26 16:47:16","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x0457d3ef89435f23d781f97495d1e3e6c93813db","5,000","$5,010.60","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x734d6f836c5fc60de499bb2933b24e7e8494cbf26eb598a41ac596e2877de58a","14849211","1653585286","2022-05-26 17:14:46","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x3e1b0f0edf6563be7be0608a797f39e727483412","5,000","$5,010.60","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x0de874cc084bf1fadd61f32831993f8577dd2afc1a6c036e099e9ec390ac6c60","15003342","1655831778","2022-06-21 17:16:18","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0xde21f729137c5af1b01d73af1dc21effa2b8a0d6","42,000","$41,986.11","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x15b5fc085454f9498f74233c865322bca13bbdafbac354fa875aa2c9c3003290","15270020","1659537132","2022-08-03 14:32:12","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x9b6568d72a6f6269049fac3998d1fadf1e6263cc","5,000","$5,011.48","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x3ac42d3ddd1690e46e87242834d0e7fa8ee5a0aefc9df64baa74ba503a78903b","15270058","1659537711","2022-08-03 14:41:51","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x9008d19f58aabd9ed0d60971565aa8510560ab41","8,251.406332","$8,270.36","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x3ac42d3ddd1690e46e87242834d0e7fa8ee5a0aefc9df64baa74ba503a78903b","15270058","1659537711","2022-08-03 14:41:51","0x9008d19f58aabd9ed0d60971565aa8510560ab41","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","5","$8,134.02","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xcdcbb466adc24cef64ef842a3cae60776c6d30cffbe6c3ccb6ddc10aad82b28f","15270071","1659537927","2022-08-03 14:45:27","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x76a6d08b82034b397e7e09dae4377c18f132bbb8","1","$1,626.80","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0x240f8d16cb9ed50b4f9042cd5c897a7280d0f080af09ef707f1d7220587299ff","15270103","1659538431","2022-08-03 14:53:51","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0xc9c022fcfebe730710ae93ca9247c5ec9d9236d0","1","$1,626.80","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xdb09bc17245e6825fbf234d12185b02d4519d8189ea6e06bafe52773f2f84de7","15270906","1659549037","2022-08-03 17:50:37","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0xf99de199e019b9674aebf4c8132ebfcf9647eea1","1","$1,626.80","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xf9e75660aba84f1bf0b9c9a8cc5a090afe632db42e2ffbf46ed0e988870f6080","15270912","1659549088","2022-08-03 17:51:28","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0xf0fbaaa7ece80ac41508e442929b81a4c8c8543b","1","$1,626.80","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0x60e9261c77f5f9286372377216e9d9bc7194885a0cf6c4b6a12e18396184b622","15271101","1659551846","2022-08-03 18:37:26","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x671028a812ab5f2feeb8982ac23b20708517c1ff","1","$1,626.80","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","WETH"
"0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260","15342188","1660513350","2022-08-14 21:42:30","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","333,800","$334,058.00","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xeca0a89b925bace80379b3b406ab21664262d3fb5536a3e4167c79668c097260","15342188","1660513350","2022-08-14 21:42:30","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","200","$2,904.18","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0xb51ad3690c53c0a84432a940a56b1e315dba4957607f1215639fa07991bcdece","15400788","1661314694","2022-08-24 04:18:14","0x9d551f41fed6fc27b719777c224dfecce170004d","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","4,368","N/A","0xa08891636ba65305420faa600fdcca2476bb4613","ERC-20: forkSurvey.com","forkSurvey.com"
"0x41ace8cc36fa4c69a5c003754c1b46bde47311f4536fb121092916394d795d4a","15407609","1661409743","2022-08-25 06:42:23","0xdf5faa56443098af17baffc510da8dee34b0e75c","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","130,834,750","N/A","0x8bfd593a85dc1165bb9d6842333bcd2da665fb39","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x85a9bfbed625a92cab7c1778c56462f278eaffd2f94e64d197f9114bc47f3659","15573946","1663667843","2022-09-20 09:57:23","0x00b8bd6d6f3964418d8b03245ac4a86a208dd3bc","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","4,422,583","N/A","0x3654746ce159ba2fcdf926133d51ecbb85f19288","ERC-20: bppo.site","bppo.site"
"0x3a6e105f98cfc710235f9f16ede0b715653c14967beada8944e99ef25ffc79d1","15591335","1663879295","2022-09-22 20:41:35","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0xde21f729137c5af1b01d73af1dc21effa2b8a0d6","100,000","$100,185.25","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1f1352efaecf1c6f1808ecc053d269f60a08eaa7d2f376dc379a4db034669747","15636535","1664424731","2022-09-29 04:12:11","0x24b9f6ce8370a25104699682d878ad32f035956c","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","1,879,840","N/A","0xb688d06d858e092ebb145394a1ba08c7a10e1f56","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x963decd02e82adb5a25e1d04a40134ee721f25bc2cf619f55936f58a9153169b","15816368","1666595243","2022-10-24 07:07:23","0x53d0e83b0ff7662e6e3602432d333e86c977f079","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","2,148,388","N/A","0x2c721dcc1b6bd78f1d43769d0a6375083afd673f","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xf5d12ff908095911f838fc497bca012cf0fcb61797c2a0e965674b8716312a2c","15904862","1667663951","2022-11-05 15:59:11","0x4e7ec5c35cfc4411d8fefded9c122611236f7a83","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","1,600","N/A","0x8e1f8d9713cb53f1bf33ca563aeffa307defd370","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xa623c252e33909cdd11d1d566bd2d162820f9a722642246c82441ddf2e409aae","15918000","1667822339","2022-11-07 11:58:59","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","7,000","N/A","0x956f824b5a37673c6fc4a6904186cb3ba499349b","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xa5c1ef608cc52b35c115392caacc599c4fb49880f903eee406bc161ea15c6816","15926335","1667922779","2022-11-08 15:52:59","0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","1,117.172074429368110959","N/A","0x5afe3855358e112b5647b952709e6165e1c1eeee","Safe Token","SAFE"
"0x9a4edbe663889fd6bd32541d05daac2a7103c590462ce85f15652443b76720aa","15946796","1668169979","2022-11-11 12:32:59","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","7,000","N/A","0x68ca006db91312cd60a2238ce775be5f9f738bba","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xb0b244ec07c063cee4d84263b3db24f0c0101b60e2b22c681e2bea1e777233bd","16050830","1669425527","2022-11-26 01:18:47","0x7951c7ef839e26f63da87a42c9a87986507f1c07","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","8","N/A","0xb0fdd1a64a52a22615ba95ba9c2f1e3e677e4bba","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x4b7a83083e0368c93a1eba285ea7967e48f56a2a28cc011b9e7aea9e7ee52dbc","16219298","1671459599","2022-12-19 14:19:59","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0xde21f729137c5af1b01d73af1dc21effa2b8a0d6","50,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x11bf109a0989c151aea7da5494e641ba215307e83a43480c56af785fe8b6eb5d","16220668","1671476099","2022-12-19 18:54:59","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x1ba8603da702602a8657980e825a6daa03dee93a","72,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x11bf109a0989c151aea7da5494e641ba215307e83a43480c56af785fe8b6eb5d","16220668","1671476099","2022-12-19 18:54:59","0x0000000000000000000000000000000000000000","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","72,000","N/A","0x1ba8603da702602a8657980e825a6daa03dee93a","Super USD Coin","USDCx"
"0xf65e8866ac89082647d1433623aae6bd60fb4915a9599a7ceeb08b9711419cb2","16262954","1671985703","2022-12-25 16:28:23","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","7,000","N/A","0x643695d282f6ba237afe27ffe0acd89a86b50d3e","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xd8feed2155cc6285d1bf5a89836d8980e613268d583715f5fc5b3ae8c031c4d7","16590216","1675933823","2023-02-09 09:10:23","0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","250,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x3dae72cc248fcf2cc529ec9325f674d0899547db4a54455a7436aa0048b7e2fc","16594195","1675981955","2023-02-09 22:32:35","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x11c24f0031b4c35e2e9353764edc61299291e0af","10,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xac816e8e297f9ac511e302c0a0bd1be7cff9473b485a827637d76c0e153568aa","16949474","1680293495","2023-03-31 20:11:35","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0xde21f729137c5af1b01d73af1dc21effa2b8a0d6","50,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x73cd1bf63a435c1e6d81b67e1747d93a775e4d422cec845bf501a9e520707740","17180550","1683121199","2023-05-03 13:39:59","0x55fe002aeff02f77364de339a1292923a15844b8","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","100,000","N/A","0xa6de609807c7258a0d34f5307c1808f062a59794","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x5387f1efc3fe162d84ef011b90a9c0d4217a2839f0ba056269744381e6018d52","17344252","1685116055","2023-05-26 15:47:35","0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d","0x0035cc37599241d007d0aba1fb931c5fa757f7a1","10,000","N/A","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
