"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x609bf7f3f19a3ee1a89674acccdcfeb0b009e6b725493d30dfc9eb54e436861f","15063037","1656764062","2022-07-02 12:14:22","0x9718ba71dc1284842fce66dc3e34dffc6c630074","0xe8929029ea54113da91cdb8c9c1ba297cf803838","2,000","$2,002.72","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x8b1db79238093b9808236550c3dd7c20f482e519399cc4b9c9bef4dc7a421448","15358142","1660731427","2022-08-17 10:17:07","0x2686a8919df194aa7673244549e68d42c1685d03","0xe8929029ea54113da91cdb8c9c1ba297cf803838","1,000","$15,768.84","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","Ethereum Name Service","ENS"
"0x8b1db79238093b9808236550c3dd7c20f482e519399cc4b9c9bef4dc7a421448","15358142","1660731427","2022-08-17 10:17:07","0x2686a8919df194aa7673244549e68d42c1685d03","0xe8929029ea54113da91cdb8c9c1ba297cf803838","15,000","$15,003.58","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1d1fdff88d07bd1b6b3d87c4fb66451e29897f9db8b59db710b448fdf8325fbf","15382177","1661060600","2022-08-21 05:43:20","0x9d551f41fed6fc27b719777c224dfecce170004d","0xe8929029ea54113da91cdb8c9c1ba297cf803838","47,819","N/A","0x768ee58b2e288d3f09d4a42479d9f45cce40b0c4","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0x50fa04ba93c618a2be336d1cfcb7648c3dc3402d3a61be5bb2862a86c25b509a","15397946","1661275511","2022-08-23 17:25:11","0xe8929029ea54113da91cdb8c9c1ba297cf803838","0x4bf91763cea52fe111c26e43c5936886583c5a37","1,281","$1,280.75","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x5580d8bd4dae543084e3f5f583a8d17cbfbda0410627e39153c9d068d7fd6e9e","15603557","1664026583","2022-09-24 13:36:23","0xe8929029ea54113da91cdb8c9c1ba297cf803838","0xcc49c3bd98d95dfb0b3a51e7dff0cb18241afd9d","1,487","$1,487.01","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1802e00adb1ce444250a588e736e0428e3527b4c8b0ed42e2961ee9b3fb0efb5","15825292","1666703207","2022-10-25 13:06:47","0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6","0xe8929029ea54113da91cdb8c9c1ba297cf803838","356.050491374544109581","N/A","0x5afe3855358e112b5647b952709e6165e1c1eeee","Safe Token","SAFE"
"0x222a938378050cc3d9d66c2c25b88548e3082e86efff1c073bf687b9164eb15f","15839207","1666871171","2022-10-27 11:46:11","0x3af4788ade7a75b90c0d8f59017f3ef56b51b84e","0xe8929029ea54113da91cdb8c9c1ba297cf803838","3,289","N/A","0x979e082e39a537fc4b958013efb662c567829e79","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xf5d12ff908095911f838fc497bca012cf0fcb61797c2a0e965674b8716312a2c","15904862","1667663951","2022-11-05 15:59:11","0x4e7ec5c35cfc4411d8fefded9c122611236f7a83","0xe8929029ea54113da91cdb8c9c1ba297cf803838","8,000","N/A","0x8e1f8d9713cb53f1bf33ca563aeffa307defd370","ERC-20 TOKEN*","ERC-20 TOKEN*"
"0xb43e8e6bd9ab599fd82243bdea76794208f3787ff80de90c65b1a677b076ecea","15918086","1667823371","2022-11-07 12:16:11","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","0xe8929029ea54113da91cdb8c9c1ba297cf803838","7,000","N/A","0x956f824b5a37673c6fc4a6904186cb3ba499349b","ERC-20 TOKEN*","ERC-20 TOKEN*"
