Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru
0xad0a894e106c2a8b711b23dbf0ddf570d1681b537e3a28d33d6a87ce9dc876d3,2022-05-23,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0x6cfc5983ee4f514dbd1049d53576b4b61777056a,0x6cfc59,Support,-800.0,-800.0,USDC,1,Support SG (pre-dissolve)
0x08919738db31785d90f37ce04d7842eaa47b94105bdb2f2faf789cb74d1874d5,2022-05-24,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0xfd1bb5a7299d0f449bd0fb386959a0449dcfd739,0xfd1bb5,Support,-900.0,-900.0,USDC,1,Support SG (pre-dissolve)
0xe7a6733179a008358bb80e0fe9e450447adceb3e92d6b8d411223697b4bf498b,2022-05-24,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0x6d53ed14a8f771a96e9186368d97c2cc06bec059,endlessness.eth,Support,-600.0,-600.0,USDC,1,Support SG (pre-dissolve)
0x849e69b96c34ebaa2589659310cf140f1dd2b04deaafbb08de1040988847ca09,2022-05-24,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0x1d5460f896521ad685ea4c3f2c679ec0b6806359,coltron.eth,Support,-2200.0,-2200.0,USDC,1,Support SG (pre-dissolve)
0x464485d62b2872726744f8cc913b5a3350ea34db4a394cbc48dc9069bb49638a,2022-05-24,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0x75cac0ceb8a39ddb4942a83ad2aafaf0c2a3e13f,alisha.eth,Support,-2002.0,-2002.0,USDC,1,Support SG (pre-dissolve)
0xa4c97fd56caa8aaf357b9b6f814c1140607df489a69dd3effd9df9b090b7e326,2022-06-02,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0x6d53ed14a8f771a96e9186368d97c2cc06bec059,endlessness.eth,Support,-694.0,-694.0,USDC,1,Support SG (pre-dissolve)
0xa4c97fd56caa8aaf357b9b6f814c1140607df489a69dd3effd9df9b090b7e326,2022-06-02,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0x6cfc5983ee4f514dbd1049d53576b4b61777056a,0x6cfc59,Support,-800.0,-800.0,USDC,1,Support SG (pre-dissolve)
0xa4c97fd56caa8aaf357b9b6f814c1140607df489a69dd3effd9df9b090b7e326,2022-06-02,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0x1d5460f896521ad685ea4c3f2c679ec0b6806359,coltron.eth,Support,-2212.0,-2212.0,USDC,1,Support SG (pre-dissolve)
0xa4c97fd56caa8aaf357b9b6f814c1140607df489a69dd3effd9df9b090b7e326,2022-06-02,0x69a79128462853833e22bba1a43bcdac4725761b,Community WG,Community WG,0xfd1bb5a7299d0f449bd0fb386959a0449dcfd739,0xfd1bb5,Support,-3669.0,-3669.0,USDC,1,Support SG (pre-dissolve)
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,142500.0,142500.0,USDC,1,Direct
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,1.0,3282.78,ETH,1,Direct
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,650.0,11678.86,ENS,1,Direct
0xe6761ddfe4caa0b7b001ce04816d2695c8b519f263ee8573c72922f131bce48d,2022-04-17,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,0xcef0b1bbec22edc3d07eac2f5f1053359a96a5e2,daylon.eth,Communications,-6.0,-82.39,ENS,1,Direct
0xe6761ddfe4caa0b7b001ce04816d2695c8b519f263ee8573c72922f131bce48d,2022-04-17,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,0xcef0b1bbec22edc3d07eac2f5f1053359a96a5e2,daylon.eth,Communications,-1350.0,-1350.0,USDC,1,Direct
0xe6761ddfe4caa0b7b001ce04816d2695c8b519f263ee8573c72922f131bce48d,2022-04-17,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,0xcef0b1bbec22edc3d07eac2f5f1053359a96a5e2,daylon.eth,Communications,-6.0,-159.66,ENS,1,Direct
0x44e792d2af514676c2b84ec6287c818b58aa9471b9516119ed7df5992fd2fb34,2022-04-20,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,0xa3b9e4b2c18efb1c767542e8eb9419b840881467,zadok7.eth,Docs,-1500.0,-1500.0,USDC,1,Direct
0xe267cb053d3199ef9cc6c9d3b9191d625ab32be919294f8168d5852d0d44d5fd,2022-04-20,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,0x48dbb9b7b562acf3c38e53deaff4686e24c3d85d,spencecoin.eth,Salaries,-2500.0,-2500.0,USDC,1,Direct
0x1f18192e52681fb3327aa20df7f3f296a06038fa5066897cbd296708d645f39d,2022-04-20,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community WG,Community WG,0xa7860e99e3ce0752d1ac53b974e309fff80277c6,limes.eth,Salaries,-2500.0,-2500.0,USDC,1,Direct
