Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru
0x06bb6d2a3353120b054020539504049ad735963561cfcab92061922ec2f4739f,2021-11-01,0x0904dac3347ea47d208f3fd67402d039a3b99859,ENS Wallet,ENS Wallet,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,4999999.999999999,0.0,ENS,1,Direct
0x39effaa3280ee43c84af8db7936d0bf982bc72ea2f50af30bdcd5461eff6cdb5,2021-11-29,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,4369.256902770583,19436595.63940591,ETH,1,Direct
0x39effaa3280ee43c84af8db7936d0bf982bc72ea2f50af30bdcd5461eff6cdb5,2021-11-29,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,10318098.311236,10318098.311236,USDC,1,Direct
0xe914a27762bf5406c6bc4e6eca36e940b4358a0a30f3ddb7d07004336f0686ae,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0xa19a7ae868ede64c6c5256a64bcd3bf3a9f2d615,Airdrop,Airdrop,-193.4620068425632,-5079.65,ENS,1,Direct
0xa8c02000b26bf58054bc2e1938ffcdd4133703e63872eb1ad20cafc5a6b5d2db,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x8747ad7163873e7ed291231b0e4e624a1c0dc6a3,Airdrop,Airdrop,-219.7352406548719,-5769.5,ENS,1,Direct
0xec20f5d20bcab6a911fd9b5b5be974ed8511d0eccc2b21a65bad0a213a783ccc,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0xf02d5846bad28230a5769077433b932a07679534,Airdrop,Airdrop,-190.04438598804748,-4989.91,ENS,1,Direct
0xc764fb297d61bf3f2791695ae490dc998b4e139abe8081e057af561f37142940,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0xae6d90462d1e9d1ecac9cf2e3584e5969c96d7f2,Airdrop,Airdrop,-41.45244808517977,-1088.4,ENS,1,Direct
0x181c8b49bfc3aa48a5691e13ee23a3ecefbaf7e40f753f816b845017331d8f9b,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x4a85ed5ea7d699f430b585a7ffe907ccdf346151,Airdrop,Airdrop,-91.40765525366413,-2400.05,ENS,1,Direct
0x3faa7e02af635722e991d6958760eec5052cbea92be7a205a4613e652d21e74f,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x8dd6b11466fdbac475b45a73601466776db14ecc,Airdrop,Airdrop,-228.1954039758032,-5991.63,ENS,1,Direct
0xfdac70e1cd950f21576b38170653b408d1eddd5f0af7cd8ff424d019ac27d3c5,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x5652cd393eb7bac4fe6ee938f611ef3ec2b95daa,Airdrop,Airdrop,-45.35230872210425,-1190.8,ENS,1,Direct
0x1aae3f9beae1ff21e63d1ae9495f4e204c4049df3f3115c4d2a62f171d192ada,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x4468fd901694589e6ebae0bb47812d7d02e8a422,Airdrop,Airdrop,-166.1290934198342,-4361.98,ENS,1,Direct
0xd25513c83884397b2da93250cfd52baedbaeb3dad2937cb13936f7ad790911fc,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x20d9b48bfe4e991a7a6523e78e7683d0e455b3ed,Airdrop,Airdrop,-155.454,-4081.69,ENS,1,Direct
0xd46edf381b5d9c0d85789a5c46efb8d52e9e01e8eafab09145a6fb7884ce55be,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x8f08cedb2f159acf03b83b3d27de53d94250beaa,Airdrop,Airdrop,-174.93845559551795,-4593.28,ENS,1,Direct
0xccf1a58ffb83b743ff353941d7e303cc586f9839123d39871f9356e2a45c44e4,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0xd9ad541a87d39188db2d603a38223103f0d00cf4,Airdrop,Airdrop,-71.12963148177873,-1867.62,ENS,1,Direct
0xf0c4f97d4011ab8c26612b0efe4f3fc70bf1bc46d9a2d45e9f2040e4f51873fa,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x0030b12b6591f7cb871856d258b60ce79ef37a76,Airdrop,Airdrop,-257.05392159731355,-6749.36,ENS,1,Direct
0x078c4b191bf5a6994cf80776f06e004a71831f2d240384612643f19dd5c51753,2022-01-14,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x4b8c5967d599fd24ae7d276374a7df6e5255fe01,Airdrop,Airdrop,-51.060020863524606,-1340.66,ENS,1,Direct
0x970dc82beb37a257a984cf13d3e5794ae6d4f27dacd0ac929a9167e8b2e19485,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x7d5ab6c97c5acc08e0dc4c341534dda6f09e24ab,Airdrop,Airdrop,-109.8373634675226,-2932.95,ENS,1,Direct
0x07947a8e317419f2158b39188d49fffc4829397dbb44f6f489d29b4310ab7c1e,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0xa5dd7fba04cc574249e5125fbe971eee5ebe35e2,Airdrop,Airdrop,-115.66492646826963,-3088.56,ENS,1,Direct
0x1538cf72cf217f21329a96469a0d998bc80c02dde67aac5b2f3f8cc880af822d,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x7316bce693b1d37d57b4b64e36c17336e85dc29c,Airdrop,Airdrop,-206.35548097703335,-5510.24,ENS,1,Direct
0x645460429450ab3bad4ecf3bf8a890222cf6a716725e634f0295f86b28c39af1,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x807aa458479490e5033ec099edd022811604d38d,Airdrop,Airdrop,-175.33618061276064,-4681.95,ENS,1,Direct
0x1ce4b54c7d188e63f9a376bb554d3041e7d546dbe397e286257c4f8bc7ff6aa0,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0xfee7486a3ebff6d668630517aa493ae7a0598067,Airdrop,Airdrop,-21.98525745209984,-587.07,ENS,1,Direct
0x207cf980711d4963c7a1bd906005cca6b8a51822f51cacbe40a6f1cd8960cf83,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x0fb4e7dff29c22029975373d1bbf5873ffc3c61a,Airdrop,Airdrop,-194.07293618840603,-5182.27,ENS,1,Direct
0xfd6c239df7b3c6f35f05b06d0e2c8a3b7e7bee3005ab406ae01727dd1ea089ac,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x945836b8345764cbde363b9209d3e0338cb83ffe,Airdrop,Airdrop,-191.90662843568117,-5124.42,ENS,1,Direct
0xdd2e5218adc2eb585f3f4ac1beed618a5b89182d0656da7fab1d2b901313c486,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0x0c33559c47ecc0c9093c42e7bbbd39b2526f3a58,Airdrop,Airdrop,-120.27772835285204,-3211.74,ENS,1,Direct
0xd3e34167bb118f1f8529911992374bfe7df75f8f5a8e1c9faf13527c9929b00b,2022-01-15,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,DAO Wallet,DAO Wallet,0xe5b831a4be169d36cae0a1394b070d2d8a05b244,Airdrop,Airdrop,-57.0,-1522.05,ENS,1,Direct
