Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru
0x15b33f26832e8c7eb39448e94ddd13b48e73c22df414e1b9d55dabc1df540b2d,2022-07-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0xa19a7ae868ede64c6c5256a64bcd3bf3a9f2d615,cryptowork.eth,Support,-3720.340702,-3720.340702,USDC,1,Support SG
0x15b33f26832e8c7eb39448e94ddd13b48e73c22df414e1b9d55dabc1df540b2d,2022-07-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0xfd1bb5a7299d0f449bd0fb386959a0449dcfd739,0xfd1bb5,Support,-3720.340701,-3720.340701,USDC,1,Support SG
0x15b33f26832e8c7eb39448e94ddd13b48e73c22df414e1b9d55dabc1df540b2d,2022-07-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6d53ed14a8f771a96e9186368d97c2cc06bec059,endlessness.eth,Support,-3720.340701,-3720.340701,USDC,1,Support SG
0x15b33f26832e8c7eb39448e94ddd13b48e73c22df414e1b9d55dabc1df540b2d,2022-07-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6cfc5983ee4f514dbd1049d53576b4b61777056a,0x6cfc59,Support,-861.894139,-861.894139,USDC,1,Support SG
0x15b33f26832e8c7eb39448e94ddd13b48e73c22df414e1b9d55dabc1df540b2d,2022-07-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x1d5460f896521ad685ea4c3f2c679ec0b6806359,coltron.eth,Support,-2218.878523,-2218.878523,USDC,1,Support SG
0x1f638d8db1a9a0a47f92f889a7b6b5b3a172b8ac9ff25bebe9dd4d593bdaae80,2022-08-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6d53ed14a8f771a96e9186368d97c2cc06bec059,endlessness.eth,Support,-4339.074705,-4339.074705,USDC,1,Support SG
0x1f638d8db1a9a0a47f92f889a7b6b5b3a172b8ac9ff25bebe9dd4d593bdaae80,2022-08-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6fe24cfaa934b262dc482fc185106c89beef6634,0x6fe24c,Support,-3610.054076,-3610.054076,USDC,1,Support SG
0x1f638d8db1a9a0a47f92f889a7b6b5b3a172b8ac9ff25bebe9dd4d593bdaae80,2022-08-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0xfd1bb5a7299d0f449bd0fb386959a0449dcfd739,0xfd1bb5,Support,-6659.323052,-6659.323052,USDC,1,Support SG
0x1f638d8db1a9a0a47f92f889a7b6b5b3a172b8ac9ff25bebe9dd4d593bdaae80,2022-08-01,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6cfc5983ee4f514dbd1049d53576b4b61777056a,0x6cfc59,Support,-981.373923,-981.373923,USDC,1,Support SG
0xaa89b8a31aa459819630bdcb39ff0cdda0d978ac2e38976615439e18af6b7bc5,2022-09-02,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6fe24cfaa934b262dc482fc185106c89beef6634,0x6fe24c,Support,-4805.0,-4805.0,USDC,1,Support SG
0xaa89b8a31aa459819630bdcb39ff0cdda0d978ac2e38976615439e18af6b7bc5,2022-09-02,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x0b04a93661c11721fff0b723071fe6c3454a6310,blackcoin.eth,Support,-1542.0,-1542.0,USDC,1,Support SG
0xaa89b8a31aa459819630bdcb39ff0cdda0d978ac2e38976615439e18af6b7bc5,2022-09-02,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0xfd1bb5a7299d0f449bd0fb386959a0449dcfd739,0xfd1bb5,Support,-6650.0,-6650.0,USDC,1,Support SG
0xaa89b8a31aa459819630bdcb39ff0cdda0d978ac2e38976615439e18af6b7bc5,2022-09-02,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6d53ed14a8f771a96e9186368d97c2cc06bec059,endlessness.eth,Support,-5205.0,-5205.0,USDC,1,Support SG
0xa9389468ec3037349473f067cf176b3accb4ab3419a07ad50af6c12371710692,2022-09-29,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6d53ed14a8f771a96e9186368d97c2cc06bec059,endlessness.eth,Support,-5205.0,-5205.0,USDC,1,Support SG
0xa9389468ec3037349473f067cf176b3accb4ab3419a07ad50af6c12371710692,2022-09-29,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x6fe24cfaa934b262dc482fc185106c89beef6634,0x6fe24c,Support,-5205.0,-5205.0,USDC,1,Support SG
0xa9389468ec3037349473f067cf176b3accb4ab3419a07ad50af6c12371710692,2022-09-29,0x69a79128462853833e22bba1a43bcdac4725761b,Ecosystem,Ecosystem,0x0b04a93661c11721fff0b723071fe6c3454a6310,blackcoin.eth,Support,-1542.0,-1542.0,USDC,1,Support SG
