Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru
0x5e44fa553c79e5b08a29d42cce03cb32ec4d6feba8440600f77ab276e11ef5d2,2023-04-14,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-6.7,-14080.787000000002,ETH,1,Endowment Fees Pod
0x45f8f45a2e94b2451e96849a5c972ec4074ce5688f6fe0b225d1502d5fb4d4e6,2023-05-16,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-9.74,-17770.8248,ETH,1,Endowment Fees Pod
0xf9deb6dcf6546ab0466f7d64b849bdcded64ea7108be4fa5088e4aa16bbf0f8f,2023-06-20,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-13.04,-23376.6776,ETH,1,Endowment Fees Pod
0xe782ccd50068dc4e773fd4277761e55b95314142b6a5b043938adb7297525fde,2023-07-12,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-9.9,-18531.414,ETH,1,Endowment Fees Pod
0xcdbb3b37a02ce52e237d3654bdf6d740a6b72f05c15fccea87834228f872ce58,2023-08-16,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-11.13,-20097.2184,ETH,1,Endowment Fees Pod
0xa12febbb45fc7e25a40855064d158089d328c98f5fcd84fca537b90dc78dbf52,2023-09-27,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-12.8,-20450.944000000003,ETH,1,Endowment Fees Pod
0x9baec0fb5cc48138fe9782a4cacfef93811827b0de16bd15b6169ba8df7f07f0,2023-10-17,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-13.01,-20365.854,ETH,1,Endowment Fees Pod
0x2aefe86336df2f93522955b6180a94619b9159dffc1599c4be14eadd38c4d285,2023-11-16,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-18.94,-37151.5676,ETH,1,Endowment Fees Pod
0xf7c417f83e0fcf3207de490c61aa8564020c2a6303b4bb1ad074ce351af4ecbf,2023-12-22,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-20.72,-48205.7016,ETH,1,Endowment Fees Pod
0xdb5c0d91a90e14ed6425cd66e3878bfee3590133fb6c94f85e444048385f91a5,2024-01-11,0x83dd97a584c4ad50015f7aa6b48bf4970a056d8f,Metagov,Metagov,0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,Karpatkey,Endowment Fees,-23.47,-61461.1237,ETH,1,Endowment Fees Pod
