Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
Stream,2024-01-01,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-01,Providers,Providers,Providers,Namehash,Namehash,Stream,-1643.835,-1643.835,USDC,1
Stream,2024-01-01,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-01,Providers,Providers,Providers,Blockful,Blockful,Stream,-821.9175,-821.9175,USDC,1
Stream,2024-01-01,Providers,Providers,Providers,Unruggable,Unruggable,Stream,-1095.89,-1095.89,USDC,1
Stream,2024-01-01,Providers,Providers,Providers,Wildcard,Wildcard,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-01,Providers,Providers,Providers,EFP,EFP,Stream,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-01,Providers,Providers,Providers,Namespace,Namespace,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-01,Providers,Providers,Providers,Unicorn,Unicorn,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,Unicorn,Unicorn,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,Namespace,Namespace,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,EFP,EFP,Stream,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,Wildcard,Wildcard,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,Namehash,Namehash,Stream,-1643.835,-1643.835,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,Blockful,Blockful,Stream,-821.9175,-821.9175,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-02,Providers,Providers,Providers,Unruggable,Unruggable,Stream,-1095.89,-1095.89,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,Wildcard,Wildcard,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,Unicorn,Unicorn,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,Namespace,Namespace,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,Unruggable,Unruggable,Stream,-1095.89,-1095.89,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,EFP,EFP,Stream,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,Blockful,Blockful,Stream,-821.9175,-821.9175,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,Namehash,Namehash,Stream,-1643.835,-1643.835,USDC,1
Stream,2024-01-03,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,Namespace,Namespace,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,EFP,EFP,Stream,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,Wildcard,Wildcard,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,Unruggable,Unruggable,Stream,-1095.89,-1095.89,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,Unicorn,Unicorn,Stream,-547.945,-547.945,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,Resolverworks,Resolverworks,Stream,-1917.8075,-1917.8075,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,Namehash,Namehash,Stream,-1643.835,-1643.835,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,ETHLimo,ETHLimo,Stream,-1369.8625,-1369.8625,USDC,1
Stream,2024-01-04,Providers,Providers,Providers,Blockful,Blockful,Stream,-821.9175,-821.9175,USDC,1
Stream,2024-01-05,Providers,Providers,Providers,Unicorn,Unicorn,Stream,-547.945,-547.945,USDC,1
