Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?,Thru
0xcdfef7acb8bd2fa290d632deca5b861abc25cfa43cabd968a89731aa2bbece55,2024-08-29,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x44f00c29a0b8514d017ac20fbdb0aa5078b860ce,gashawk.eth,PG Large Grants,-10000.0,-10000.0,USDC,1,Large Grants Pod
0xb5d8c898f541da004f33da0c26dd939a2d9b61015b3404b839dca92dda344a67,2024-08-30,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x4a8ab737cdb7dc3c56dd59266591b9d2eb1e55ab,borderlessafrica.eth,PG Large Grants,-20000.0,-20000.0,USDC,1,Large Grants Pod
0x34f78c44d1db848e7bd198e669b04f74de49d458b0cda293c75c9f2be5b7e798,2024-08-30,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x4a8ab737cdb7dc3c56dd59266591b9d2eb1e55ab,borderlessafrica.eth,PG Large Grants,-10000.0,-10000.0,USDC,1,Large Grants Pod
0xfd2cde3e802bda1b9200e273728a48debcf4c3304f44c9968fb564f27a864cfc,2024-09-04,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x9531c059098e3d194ff87febb587ab07b30b1306,Rotki,PG Large Grants,-12500.0,-12500.0,USDC,1,Large Grants Pod
0xe7b61a13375d4b0d861b87072a9b0c2eb3af03af9eb9b12f744890e937f57af2,2024-09-04,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0xadead18d0612cb0bc46bfcfad77dc07389aa331d,Urbe Campus,PG Large Grants,-5000.0,-5000.0,USDC,1,Large Grants Pod
0xace6d971ba3039d93d1c6c7f4ba1eaebb31d62626394fd279a1d3ad5a3281881,2024-09-09,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x00080706a7d99cbc163d52dcf435205b1ad940d1,buidlguidl.eth,PG Large Grants,-15000.0,-15000.0,USDC,1,Large Grants Pod
0xc8d3a4321a80e5d4a25631ce70e12112e789441f724b3e12d8c40ad52fde835b,2024-09-10,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x00080706a7d99cbc163d52dcf435205b1ad940d1,buidlguidl.eth,PG Large Grants,-5000.0,-5000.0,USDC,1,Large Grants Pod
0xcbe05d196e93137675457403ebda399eaa31e2ae6ff47b2db8a91e8d6a3a1e6b,2024-09-10,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x00080706a7d99cbc163d52dcf435205b1ad940d1,buidlguidl.eth,PG Large Grants,-5000.0,-5000.0,USDC,1,Large Grants Pod
0x86a66bd4a9ddb181d173c3fbf27ba7d2a0b696c2756e03fcc2d05aba72e70973,2024-09-10,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x00080706a7d99cbc163d52dcf435205b1ad940d1,buidlguidl.eth,PG Large Grants,-10000.0,-10000.0,USDC,1,Large Grants Pod
0x63417ab9fe18c8a9cead8fc441c5f60bbca1512c0a715e08fa3dfa3cea8226c8,2024-09-24,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0xfa3eff9b199f1903d44aeaab4ff9859638028719,Firefly,PG Large Grants,-20000.0,-20000.0,USDC,1,Large Grants Pod
0x2fb1cdf8fe5e2b64408e05ef4e88249103fd872a32aaac290fa08d253badc2e6,2024-10-02,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0xadead18d0612cb0bc46bfcfad77dc07389aa331d,Urbe Campus,PG Large Grants,-5000.0,-5000.0,USDC,1,Large Grants Pod
0x6f77a6589ced5c0ab4b60cc83be382c4fc78561c82f3d6c0dc791cb0a459bb82,2024-10-02,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0xadead18d0612cb0bc46bfcfad77dc07389aa331d,Urbe Campus,PG Large Grants,-2500.0,-2500.0,USDC,1,Large Grants Pod
0x3a4fba2e4f527b0b08eebe897fc5c02eec5a2d5228515945d7f286f8d959b339,2024-10-06,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x7950aee3952d6c6297bf349e0d2731a745aabb32,caiomattos.eth,PG Large Grants,-8000.0,-8000.0,USDC,1,Large Grants Pod
0x855c551bc4dfb0af85fdc5a46bd5c2cc208f38714c5262b8ab56643499b4b211,2024-10-16,0xeba76c907f02ba13064edad7876fe51d9d856f62,Public Goods,Public Goods,0x9531c059098e3d194ff87febb587ab07b30b1306,Rotki,PG Large Grants,-12500.0,-12500.0,USDC,1,Large Grants Pod
