Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q4,Ecosystem,Builders,USDC,45994.6124,45986.6424
2022Q4,Ecosystem,Builders,ETH,-8.0,-10131.55
2022Q4 Unspent,Builders SG,Builders SG,ENS,0.0,0.0
2022Q4 Unspent,Builders SG,Builders SG,ETH,-8.0,-9558.4
2022Q4 Unspent,Builders SG,Builders SG,USDC,45994.6124,45994.6124
2023Q1,Ecosystem,Builders,USDC,13075.566751,13075.566751
2023Q1,Ecosystem,Builders,ETH,-1.0,-1793.51
2023Q1 Unspent,Builders SG,Builders SG,ETH,-9.0,-16190.1
2023Q1 Unspent,Builders SG,Builders SG,USDC,59070.179151,59070.179151
2023Q1 Unspent,Builders SG,Builders SG,ENS,0.0,0.0
2023Q2,Ecosystem,Builders,USDC,80000.0,80000.0
2023Q2 Unspent,Builders SG,Builders SG,ETH,-9.0,-16710.3
2023Q2 Unspent,Builders SG,Builders SG,USDC,139070.179151,139070.179151
2023Q2 Unspent,Builders SG,Builders SG,ENS,0.0,0.0
2024Q1,Ecosystem,Builders,USDC,157000.032849,157000.032849
2024Q1,Ecosystem,Builders,ENS,2000.0,33240.0
2024Q1,Ecosystem,Builders,ETH,-38.0,-84896.94
2024Q1 Unspent,Builders SG,Builders SG,USDC,296070.212,296070.212
2024Q1 Unspent,Builders SG,Builders SG,ETH,-47.0,-165378.9
2024Q1 Unspent,Builders SG,Builders SG,ENS,2000.0,43380.0
