Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q2,DAO Wallet,Community WG,USDC,142500.0,142500.0
2022Q2,DAO Wallet,Community WG,ENS,650.0,11678.86
2022Q2,DAO Wallet,Community WG,ETH,1.0,3282.78
2022Q2,Community WG,Salaries,USDC,-27595.366907,-27595.366907
2022Q2,Community WG,Support,USDC,-13877.0,-13877.0
2022Q2,Community WG,Discretionary,ENS,-300.0,-6758.1900000000005
2022Q2,Community WG,Communications,USDC,-3429.566258,-3429.566258
2022Q2,Community WG,Discretionary,ETH,-0.95,-2557.4759999999997
2022Q2,Community WG,Onboarding,USDC,-2305.0,-2305.0
2022Q2,Community WG,Docs,USDC,-2010.0,-2010.0
2022Q2,Community WG,Hispanohablantes,USDC,-2000.0,-2000.0
2022Q2,Community WG,Discretionary,USDC,-1350.0,-1350.0
2022Q2,Community WG,Communications,ENS,-28.0,-557.8199999999999
2022Q2,Community WG,IRL Outreach,USDC,-450.0,-450.0
2022Q3,Dissolved Community WG,Ecosystem,ENS,-10486.0,-279032.46
