Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q3,Metagov,DAO Tooling,USDC,10000,9995.02
2022Q3 Unspent,DAO Tooling Pod,DAO Tooling Pod,ETH,0,0.0
2022Q3 Unspent,DAO Tooling Pod,DAO Tooling Pod,ENS,0,0.0
2022Q3 Unspent,DAO Tooling Pod,DAO Tooling Pod,USDC,10000,10000.0
2022Q4,Metagov,DAO Tooling,USDC,49000,49000.0
2022Q4 Unspent,DAO Tooling Pod,DAO Tooling Pod,ENS,0,0.0
2022Q4 Unspent,DAO Tooling Pod,DAO Tooling Pod,USDC,59000,59000.0
2022Q4 Unspent,DAO Tooling Pod,DAO Tooling Pod,ETH,0,0.0
2023Q1,Metagov,DAO Tooling,ENS,3000,33981.0
2023Q1 Unspent,DAO Tooling Pod,DAO Tooling Pod,USDC,59000,59000.0
2023Q1 Unspent,DAO Tooling Pod,DAO Tooling Pod,ENS,3000,39930.0
2023Q1 Unspent,DAO Tooling Pod,DAO Tooling Pod,ETH,0,0.0
2023Q2,Metagov,DAO Tooling,USDC,80000,80000.0
2023Q2,Metagov,DAO Tooling,ENS,2000,17220.64
2023Q2 Unspent,DAO Tooling Pod,DAO Tooling Pod,USDC,139000,139000.0
2023Q2 Unspent,DAO Tooling Pod,DAO Tooling Pod,ENS,5000,43050.0
2023Q2 Unspent,DAO Tooling Pod,DAO Tooling Pod,ETH,0,0.0
2023Q3,Metagov,DAO Tooling,ENS,1000,9158.16
2023Q3,Metagov,DAO Tooling,USDC,5000,5000.0
2023Q3,Metagov,DAO Tooling,ETH,-60,-111451.2
2023Q3 Unspent,DAO Tooling Pod,DAO Tooling Pod,ETH,-60,-100140.0
2023Q3 Unspent,DAO Tooling Pod,DAO Tooling Pod,ENS,6000,45480.0
2023Q3 Unspent,DAO Tooling Pod,DAO Tooling Pod,USDC,144000,144000.0
2023Q4,Metagov,DAO Tooling,USDC,25000,25000.0
2023Q4 Unspent,DAO Tooling Pod,DAO Tooling Pod,USDC,169000,169000.0
2023Q4 Unspent,DAO Tooling Pod,DAO Tooling Pod,ENS,6000,59040.0
2023Q4 Unspent,DAO Tooling Pod,DAO Tooling Pod,ETH,-60,-137742.0
2024Q1,Metagov,DAO Tooling,USDC,61000,61000.0
2024Q1 Unspent,DAO Tooling Pod,DAO Tooling Pod,USDC,230000,230000.0
2024Q1 Unspent,DAO Tooling Pod,DAO Tooling Pod,ENS,6000,130140.00000000001
2024Q1 Unspent,DAO Tooling Pod,DAO Tooling Pod,ETH,-60,-211122.0
