Quarter,From_category,To_category,Symbol,Value,DOT_USD
2021Q4,Root Multisig,DAO Wallet,ETH,4369.256902770583,19436595.63940591
2021Q4,Root Multisig,DAO Wallet,USDC,10318098.311236,10318098.311236
2021Q4,ENS Wallet,DAO Wallet,ENS,4999999.999999999,0.0
2021Q4 Unspent,DAO Wallet,DAO Wallet,ENS,4999999.999999999,195399999.99999994
2021Q4 Unspent,DAO Wallet,DAO Wallet,USDC,10318098.311236,10318098.311236
2021Q4 Unspent,DAO Wallet,DAO Wallet,ETH,4369.256902770583,16221390.562364122
2022Q1,DAO Wallet,Airdrop,ENS,-36940.91376892138,-726039.48
2022Q1 Unspent,DAO Wallet,DAO Wallet,USDC,10318098.311236,10318098.311236
2022Q1 Unspent,DAO Wallet,DAO Wallet,ETH,4369.256902770583,14872426.186202733
2022Q1 Unspent,DAO Wallet,DAO Wallet,ENS,4963059.086231078,95687779.18253519
2022Q2,Token Timelock,DAO Wallet,ENS,5374925.047252342,101895615.07
2022Q2,DAO Wallet,Airdrop,ENS,-208099.536853273,-1955514.16
2022Q2,DAO Wallet,ENS Labs,USDC,-1281407.0,-1281407.0
2022Q2,DAO Wallet,Ecosystem,USDC,-377500.0,-377500.0
2022Q2,DAO Wallet,Community WG,USDC,-142500.0,-142500.0
2022Q2,DAO Wallet,Ecosystem,ENS,-6500.0,-116788.62
2022Q2,DAO Wallet,Public Goods,USDC,-100000.0,-100000.0
2022Q2,DAO Wallet,Metagov,USDC,-50000.0,-50000.0
2022Q2,DAO Wallet,Metagov,ENS,-2700.0,-48512.2
2022Q2,DAO Wallet,Ecosystem,ETH,-6.0,-19696.68
2022Q2,DAO Wallet,Community WG,ENS,-650.0,-11678.86
2022Q2,DAO Wallet,Community WG,ETH,-1.0,-3282.78
2022Q2 Unspent,DAO Wallet,DAO Wallet,ENS,10120034.596630147,89461105.8342105
2022Q2 Unspent,DAO Wallet,DAO Wallet,ETH,4362.256902770583,4803848.169038049
2022Q2 Unspent,DAO Wallet,DAO Wallet,USDC,8366691.311236,8366691.311236
2022Q3,DAO Wallet,ENS Labs,USDC,-2263309.399946,-2263309.399946
2022Q3,DAO Wallet,Ecosystem,USDC,-1553000.0,-1553000.0
2022Q3,DAO Wallet,Ecosystem,ENS,-42500.0,-617138.01
2022Q3,DAO Wallet,Metagov,USDC,-402000.0,-402000.0
2022Q3,DAO Wallet,Public Goods,USDC,-333800.0,-333800.0
2022Q3,DAO Wallet,Ecosystem,ETH,-156.0,-302019.12
2022Q3,DAO Wallet,Metagov,ENS,-15500.0,-225073.86
2022Q3,DAO Wallet,Public Goods,ETH,-90.0,-174241.8
2022Q3,DAO Wallet,Metagov,ETH,-25.0,-48400.5
2022Q3,DAO Wallet,Public Goods,ENS,-200.0,-2904.18
2022Q3 Unspent,DAO Wallet,DAO Wallet,ENS,10061834.596630147,158172039.85902593
2022Q3 Unspent,DAO Wallet,DAO Wallet,ETH,4091.256902770583,5467964.850552884
2022Q3 Unspent,DAO Wallet,DAO Wallet,USDC,3814581.9112899993,3814581.9112899993
2022Q4,DAO Wallet,ENS Labs,USDC,-1347555.527664,-1347555.527664
2022Q4 Unspent,DAO Wallet,DAO Wallet,USDC,2467026.383625999,2467026.383625999
2022Q4 Unspent,DAO Wallet,DAO Wallet,ETH,4091.256902770583,4888233.747430293
2022Q4 Unspent,DAO Wallet,DAO Wallet,ENS,10061834.596630147,107460393.49200997
2023Q1,Old Registrar,DAO Wallet,ETH,37509.43757147257,57981338.409230866
2023Q1,CoW Swap,DAO Wallet,USDC,16226542.504644,16226542.504644
2023Q1,DAO Wallet,Endowment,ETH,-16000.0,-24986080.0
2023Q1,DAO Wallet,CoW WETH Proxy,ETH,-10000.0,-16201000.0
2023Q1,DAO Wallet,Ecosystem,USDC,-935000.0,-935000.0
2023Q1,DAO Wallet,Metagov,ETH,-275.0,-427467.0
2023Q1,DAO Wallet,Ecosystem,ETH,-254.0,-392628.12
2023Q1,DAO Wallet,Metagov,USDC,-364000.0,-364000.0
2023Q1,DAO Wallet,Public Goods,USDC,-250000.0,-250000.0
2023Q1,DAO Wallet,Public Goods,ETH,-50.0,-77289.0
2023Q1,DAO Wallet,Metagov,ENS,-3500.0,-49034.39
2023Q1 Unspent,DAO Wallet,DAO Wallet,USDC,17144568.888269998,17144568.888269998
2023Q1 Unspent,DAO Wallet,DAO Wallet,ENS,10058334.596630147,133876433.48114726
2023Q1 Unspent,DAO Wallet,DAO Wallet,ETH,15021.694474243151,27022526.189716008
2023Q2,DAO Wallet,ENS Labs,USDC,-1938319.17132,-1938319.17132
2023Q2 Unspent,DAO Wallet,DAO Wallet,ETH,15021.694474243151,27890780.13032726
2023Q2 Unspent,DAO Wallet,DAO Wallet,ENS,10058334.596630147,86602260.87698556
2023Q2 Unspent,DAO Wallet,DAO Wallet,USDC,15206249.716949997,15206249.716949997
2023Q3,New Registrar,DAO Wallet,ETH,3110.9338110136264,5151058.787685484
2023Q3,DAO Wallet,ENS Labs,USDC,-1517725.369848,-1517725.369848
2023Q3 Unspent,DAO Wallet,DAO Wallet,ENS,10058334.596630147,76242176.24245651
2023Q3 Unspent,DAO Wallet,DAO Wallet,USDC,13688524.347101998,13688524.347101998
2023Q3 Unspent,DAO Wallet,DAO Wallet,ETH,18132.62828525678,30263356.608093563
2023Q4,New Registrar,DAO Wallet,ETH,1995.3225989388459,4459711.010340699
2023Q4,DAO Wallet,Endowment,ETH,-16000.0,-26154240.0
2023Q4,DAO Wallet,ENS Labs,USDC,-1140151.1995919999,-1140151.1995919999
2023Q4,DAO Wallet,Metagov,ENS,-52300.0,-475407.0
2023Q4,DAO Wallet,Ecosystem,USDC,-409000.0,-409000.0
2023Q4,DAO Wallet,Metagov,USDC,-376000.0,-376000.0
2023Q4,DAO Wallet,Metagov,ETH,-157.0,-272157.68
2023Q4,DAO Wallet,Public Goods,USDC,-218204.0,-218204.0
2023Q4,DAO Wallet,Public Goods,ETH,-35.0,-70791.7
2023Q4 Unspent,DAO Wallet,DAO Wallet,USDC,11545169.147509998,11545169.147509998
2023Q4 Unspent,DAO Wallet,DAO Wallet,ENS,10006034.596630147,98459380.43084064
2023Q4 Unspent,DAO Wallet,DAO Wallet,ETH,3935.950884195625,9035762.444847895
2024Q1,New Registrar,DAO Wallet,ETH,1359.6132706043672,3953926.5906542144
2024Q1,DAO Wallet,Providers,USDC,-1286301.369862,-1286301.369862
2024Q1,DAO Wallet,ENS Labs,USDC,-769782.1068,-769782.1068
2024Q1 Unspent,DAO Wallet,DAO Wallet,USDC,9489085.670847997,9489085.670847997
2024Q1 Unspent,DAO Wallet,DAO Wallet,ETH,5295.564154799992,18633501.59149473
2024Q1 Unspent,DAO Wallet,DAO Wallet,ENS,10006034.596630147,217030890.4009079
2024Q2,New Registrar,DAO Wallet,ETH,965.1308885139417,3230523.872042152
2024Q2,DAO Wallet,ENS Labs,USDC,-1194907.23276,-1194907.23276
2024Q2,DAO Wallet,Providers,USDC,-493150.684931,-493150.684931
2024Q2,DAO Wallet,Public Goods,USDC,-450300.0,-450300.0
2024Q2,DAO Wallet,Public Goods,ETH,-21.5,-64747.465000000004
2024Q2 Unspent,DAO Wallet,DAO Wallet,ENS,10006034.596630147,280669270.43547565
2024Q2 Unspent,DAO Wallet,DAO Wallet,USDC,7350727.753156997,7350727.753156997
2024Q2 Unspent,DAO Wallet,DAO Wallet,ETH,6239.195043313934,21418033.52858894
2024Q3,New Registrar,DAO Wallet,ETH,731.5158147686642,2160659.187822463
2024Q3,DAO Wallet,Metagov,ENS,-150000.0,-3885000.0
2024Q3,DAO Wallet,ENS Labs,USDC,-1058464.37256,-1058464.37256
2024Q3,DAO Wallet,Providers,USDC,-986301.369862,-986301.369862
2024Q3,DAO Wallet,Metagov,USDC,-374000.0,-374000.0
2024Q3 Unspent,DAO Wallet,DAO Wallet,ENS,9856034.596630147,254285692.59305778
2024Q3 Unspent,DAO Wallet,DAO Wallet,USDC,4931962.010734998,4931962.010734998
2024Q3 Unspent,DAO Wallet,DAO Wallet,ETH,6970.710858082598,23614398.34549209
2024Q4,DAO Wallet,ENS Labs,USDC,-1538170.46284,-1538170.46284
2024Q4,DAO Wallet,Providers,USDC,-493150.684931,-493150.684931
2024Q4 Unspent,DAO Wallet,DAO Wallet,ETH,6970.710858082598,23614398.34549209
2024Q4 Unspent,DAO Wallet,DAO Wallet,ENS,9856034.596630147,254285692.59305778
2024Q4 Unspent,DAO Wallet,DAO Wallet,USDC,2900640.8629639978,2900640.8629639978
