Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q2,DAO Wallet,Ecosystem,USDC,377500.0,377500.0
2022Q2,DAO Wallet,Ecosystem,ENS,6500.0,116788.62
2022Q2,DAO Wallet,Ecosystem,ETH,6.0,19696.68
2022Q2,Ecosystem,SIWE,USDC,-250000.0,-250000.0
2022Q2,Ecosystem,Bug Bounty,USDC,-60000.0,-60000.0
2022Q2,Ecosystem,Eco. Grants,USDC,-28000.0,-28000.0
2022Q2,Ecosystem,Salaries,USDC,-27500.0,-27500.0
2022Q2,Ecosystem,Eco. Grants,ENS,-850.0,-9914.97
2022Q2,Ecosystem,Eco. Grants,ETH,-4.0,-7060.02
2022Q2,Ecosystem,Translators,USDC,-700.0,-700.0
2022Q2 Unspent,Ecosystem,Ecosystem,USDC,11300.0,11300.0
2022Q2 Unspent,Ecosystem,Ecosystem,ETH,2.0,2202.46
2022Q2 Unspent,Ecosystem,Ecosystem,ENS,5650.0,49946.0
2022Q3,DAO Wallet,Ecosystem,USDC,1553000.0,1553000.0
2022Q3,DAO Wallet,Ecosystem,ENS,42500.0,617138.01
2022Q3,DAO Wallet,Ecosystem,ETH,156.0,302019.12
2022Q3,Ecosystem,Gitcoin Grants,USDC,-69420.0,-69420.0
2022Q3,Ecosystem,Support,USDC,-66635.620522,-66635.620522
2022Q3,Ecosystem,ETHLimo,USDC,-60000.0,-60000.0
2022Q3,Ecosystem,Fellowship,USDC,-49990.3488,-49990.3488
2022Q3,Ecosystem,ETHLimo,ENS,-3000.0,-46174.12
2022Q3,Ecosystem,Eco. Grants,USDC,-36000.0,-36000.0
2022Q3,Ecosystem,Hackathons,USDC,-35000.0,-35000.0
2022Q3,Ecosystem,ETHLimo,ETH,-10.0,-17193.5
2022Q3,Ecosystem,Community,USDC,-14988.840588,-14988.840588
2022Q3,Ecosystem,IRL,USDC,-13331.89,-13331.89
2022Q3,Ecosystem,Websites,USDC,-8000.0,-8000.0
2022Q3,Ecosystem,Eco. Grants,ENS,-450.0,-6561.0
2022Q3,Ecosystem,Merch,USDC,-6250.0,-6250.0
