Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q4,Metagov,Governance,ETH,-3.0,-4002.66
2022Q4 Unspent,Governance Pod,Governance Pod,ENS,0.0,0.0
2022Q4 Unspent,Governance Pod,Governance Pod,ETH,-3.0,-3584.3999999999996
2022Q4 Unspent,Governance Pod,Governance Pod,USDC,0.0,0.0
2023Q1,Metagov,$ENS Vesting,ENS,6000.0,67962.0
2023Q1 Unspent,Governance Pod,Governance Pod,ETH,-3.0,-5396.700000000001
2023Q1 Unspent,Governance Pod,Governance Pod,ENS,6000.0,79860.0
2023Q1 Unspent,Governance Pod,Governance Pod,USDC,0.0,0.0
2023Q2,Metagov,Governance,USDC,5000.0,5000.0
2023Q2,Metagov,Governance,ETH,-0.0153319644079397,-27.723564681724724
2023Q2 Unspent,Governance Pod,Governance Pod,ETH,-3.0153319644079395,-5598.566858316221
2023Q2 Unspent,Governance Pod,Governance Pod,ENS,6000.0,51660.0
2023Q2 Unspent,Governance Pod,Governance Pod,USDC,5000.0,5000.0
2024Q1,Metagov,Governance,USDC,83500.0,83500.0
2024Q1,Metagov,Governance,ENS,1250.0,15925.0
2024Q1,Metagov,Governance,ETH,-31.98466803559206,-72588.2445667351
2024Q1 Unspent,Governance Pod,Governance Pod,ENS,7250.0,157252.5
2024Q1 Unspent,Governance Pod,Governance Pod,ETH,-35.0,-123154.5
2024Q1 Unspent,Governance Pod,Governance Pod,USDC,88500.0,88500.0
