Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q3,Ecosystem,IRL,USDC,13331.89,13349.56
2022Q3 Unspent,IRL SG,IRL SG,ETH,0.0,0.0
2022Q3 Unspent,IRL SG,IRL SG,USDC,13331.89,13331.89
2022Q4,Ecosystem,IRL,USDC,21611.870000000003,21602.72
2022Q4 Unspent,IRL SG,IRL SG,ETH,0.0,0.0
2022Q4 Unspent,IRL SG,IRL SG,USDC,34943.76,34943.76
2023Q1,Ecosystem,IRL,USDC,21290.858838,21290.858838
2023Q1 Unspent,IRL SG,IRL SG,ETH,0.0,0.0
2023Q1 Unspent,IRL SG,IRL SG,USDC,56234.618838,56234.618838
2023Q2,Ecosystem,IRL,USDC,23731.75,23731.75
2023Q2 Unspent,IRL SG,IRL SG,ETH,0.0,0.0
2023Q2 Unspent,IRL SG,IRL SG,USDC,79966.368838,79966.368838
2023Q3,Ecosystem,IRL,USDC,31802.11,31802.11
2023Q3,Ecosystem,IRL,ETH,-0.132642786945538,-219.24526254227976
2023Q3 Unspent,IRL SG,IRL SG,ETH,-0.132642786945538,-221.3808114121029
2023Q3 Unspent,IRL SG,IRL SG,USDC,111768.478838,111768.478838
2023Q4,Ecosystem,IRL,USDC,12824.31,12824.31
2023Q4,Ecosystem,IRL,ETH,-1.217012866260022,-2510.2472483339093
2023Q4 Unspent,IRL SG,IRL SG,USDC,124592.788838,124592.788838
2023Q4 Unspent,IRL SG,IRL SG,ETH,-1.34965565320556,-3098.4044830640037
2024Q1,Ecosystem,IRL,USDC,33651.0,33651.0
2024Q1 Unspent,IRL SG,IRL SG,USDC,158243.78883799998,158243.78883799998
2024Q1 Unspent,IRL SG,IRL SG,ETH,-1.34965565320556,-4749.033346934403
2024Q2,Ecosystem,IRL,USDC,2253.0,2253.0
2024Q2 Unspent,IRL SG,IRL SG,USDC,160496.78883799998,160496.78883799998
2024Q2 Unspent,IRL SG,IRL SG,ETH,-1.34965565320556,-4633.12491943711
2024Q3,Ecosystem,IRL,USDC,30917.04,30917.04
2024Q3,Ecosystem,IRL,ETH,0.0,0.0
2024Q3 Unspent,IRL SG,IRL SG,USDC,191413.828838,191413.828838
2024Q3 Unspent,IRL SG,IRL SG,ETH,-1.34965565320556,-4572.174470138347
