Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q3,Ecosystem,Merch,USDC,6250.0,6251.74
2022Q3 Unspent,Merch SG,Merch SG,ENS,0.0,0.0
2022Q3 Unspent,Merch SG,Merch SG,ETH,0.0,0.0
2022Q3 Unspent,Merch SG,Merch SG,USDC,6250.0,6250.0
2022Q4,Ecosystem,Merch,USDC,18754.378065,18754.25
2022Q4 Unspent,Merch SG,Merch SG,ENS,0.0,0.0
2022Q4 Unspent,Merch SG,Merch SG,ETH,0.0,0.0
2022Q4 Unspent,Merch SG,Merch SG,USDC,25004.378065,25004.378065
2023Q1,Ecosystem,Merch,USDC,7247.0,7247.0
2023Q1 Unspent,Merch SG,Merch SG,ENS,0.0,0.0
2023Q1 Unspent,Merch SG,Merch SG,ETH,0.0,0.0
2023Q1 Unspent,Merch SG,Merch SG,USDC,32251.378065,32251.378065
2023Q2,Ecosystem,Merch,USDC,373.995467,373.995467
2023Q2 Unspent,Merch SG,Merch SG,USDC,32625.373532,32625.373532
2023Q2 Unspent,Merch SG,Merch SG,ENS,0.0,0.0
2023Q2 Unspent,Merch SG,Merch SG,ETH,0.0,0.0
2023Q3,Ecosystem,Merch,USDC,4000.0,4000.0
2023Q3,Ecosystem,Merch,ETH,-0.085821,-158.51224521
2023Q3 Unspent,Merch SG,Merch SG,ENS,0.0,0.0
2023Q3 Unspent,Merch SG,Merch SG,ETH,-0.085821,-143.23524899999998
2023Q3 Unspent,Merch SG,Merch SG,USDC,36625.373532,36625.373532
2023Q4,Ecosystem,Merch,USDC,2000.0,2000.0
2023Q4 Unspent,Merch SG,Merch SG,USDC,38625.373532,38625.373532
2023Q4 Unspent,Merch SG,Merch SG,ETH,-0.085821,-197.01926969999997
2023Q4 Unspent,Merch SG,Merch SG,ENS,0.0,0.0
2024Q1,Ecosystem,Merch,USDC,9563.43,9563.43
2024Q1 Unspent,Merch SG,Merch SG,ETH,-0.085821,-301.97835269999996
2024Q1 Unspent,Merch SG,Merch SG,USDC,48188.803532,48188.803532
2024Q1 Unspent,Merch SG,Merch SG,ENS,0.0,0.0
2024Q2,Ecosystem,Merch,USDC,27782.574568,27782.574568
2024Q2,Ecosystem,Merch,ENS,500.0,13095.0
2024Q2,Ecosystem,Merch,ETH,-4.914179,-17489.415635629997
2024Q2 Unspent,Merch SG,Merch SG,ETH,-5.0,-17164.100000000002
2024Q2 Unspent,Merch SG,Merch SG,USDC,75971.3781,75971.3781
2024Q2 Unspent,Merch SG,Merch SG,ENS,500.0,14025.0
