Quarter,From_category,To_category,Symbol,Value,DOT_USD
2023Q3,Ecosystem,Newsletter,USDC,4500,4500.0
2023Q3 Unspent,Newsletter SG,Newsletter SG,USDC,4500,4500.0
2023Q4,Ecosystem,Newsletter,USDC,4500,4500.0
2023Q4 Unspent,Newsletter SG,Newsletter SG,USDC,9000,9000.0
2024Q1,Ecosystem,Newsletter,USDC,3000,3000.0
2024Q1 Unspent,Newsletter SG,Newsletter SG,USDC,12000,12000.0
2024Q2,Ecosystem,Newsletter,USDC,4500,4500.0
2024Q2 Unspent,Newsletter SG,Newsletter SG,USDC,16500,16500.0
2024Q3,Ecosystem,Newsletter,USDC,5010,5010.0
2024Q3 Unspent,Newsletter SG,Newsletter SG,USDC,21510,21510.0
