Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q4,CoW,Sponsorship,USDC,43488.554164999994,43488.554164999994
2022Q4,UniSwap,Sponsorship,USDC,500.0,500.0
2022Q4,UniSwap,Sponsorship,ETH,0.0021687668269079,2.8083795394995783
2022Q4,Sponsorship SG,CoW,ETH,-34.680555823249165,-44577.68342046169
2022Q4,Sponsorship SG,0xrahulum.eth,USDC,-727.0,-727.0
2022Q4,Sponsorship SG,UniSwap,ETH,-0.4122942714811319,-533.8880980263474
2022Q4 Unspent,Sponsorship SG,Sponsorship SG,USDC,43261.554164999994,43261.554164999994
2022Q4 Unspent,Sponsorship SG,Sponsorship SG,ETH,-35.09068132790339,-41926.34605057897
2023Q1,CoW,Sponsorship,ETH,30.304559970139145,50942.268355403605
2023Q1,Metagov,Sponsorship,USDC,15000.0,15000.0
2023Q1,Sponsorship SG,CoW,USDC,-49100.0,-49100.0
2023Q1,Sponsorship SG,UniSwap,USDC,-4587.754165,-4587.754165
2023Q1 Unspent,Sponsorship SG,Sponsorship SG,ETH,-4.7861213577642445,-8609.7537104821
2023Q1 Unspent,Sponsorship SG,Sponsorship SG,USDC,4573.799999999996,4573.799999999996
2023Q2,CoW,Sponsorship,ETH,20.91682852134233,39510.38449440072
2023Q2,Sponsorship SG,CoW,USDC,-40245.0,-40245.0
2023Q2,Sponsorship SG,SeaWise,USDC,-31900.0,-31900.0
2023Q2,Sponsorship SG,UniSwap,USDC,-17300.0,-17300.0
2023Q2,Sponsorship SG,LUV,ETH,-3.0,-5619.2699999999995
2023Q2,Sponsorship SG,esteve.eth,USDC,-2500.0,-2500.0
2023Q2 Unspent,Sponsorship SG,Sponsorship SG,ETH,13.130707163578087,24379.783990615437
2023Q2 Unspent,Sponsorship SG,Sponsorship SG,USDC,-87371.20000000001,-87371.20000000001
2023Q3,CoW,Sponsorship,ETH,5.004112014942979,8602.277328433218
2023Q3,Sponsorship SG,CoW,USDC,-2999.0,-2999.0
2023Q3 Unspent,Sponsorship SG,Sponsorship SG,ETH,18.134819178521067,30267.01320895166
2023Q3 Unspent,Sponsorship SG,Sponsorship SG,USDC,-90370.20000000001,-90370.20000000001
2023Q4,CoW,Sponsorship,ETH,28.31087793525539,65562.99385424056
2023Q4,Sponsorship SG,CoW,USDC,-63047.0,-63047.0
2023Q4,Sponsorship SG,UniSwap,USDC,-11600.0,-11600.0
2023Q4 Unspent,Sponsorship SG,Sponsorship SG,ETH,46.44569711377646,106625.38686409661
2023Q4 Unspent,Sponsorship SG,Sponsorship SG,USDC,-165017.2,-165017.2
2024Q1,CoW,Sponsorship,ETH,28.12298190854698,74228.7332444092
2024Q1,Sponsorship SG,CoW,USDC,-71188.0,-71188.0
2024Q1 Unspent,Sponsorship SG,Sponsorship SG,USDC,-236205.2,-236205.2
2024Q1 Unspent,Sponsorship SG,Sponsorship SG,ETH,74.56867902232344,262384.81087584945
2024Q2,CoW,Sponsorship,ETH,19.11005289812526,65332.40973037257
2024Q2,Public Goods,Sponsorship,USDC,16000.0,16000.0
2024Q2,Sponsorship SG,CoW,USDC,-66766.0,-66766.0
2024Q2 Unspent,Sponsorship SG,Sponsorship SG,USDC,-286971.2,-286971.2
2024Q2 Unspent,Sponsorship SG,Sponsorship SG,ETH,93.6787319204487,321582.2245111547
2024Q3,CoW,Sponsorship,ETH,2.538691432230362,6736.189233194364
2024Q3,Sponsorship SG,CoW,USDC,-4192.0,-4192.0
2024Q3 Unspent,Sponsorship SG,Sponsorship SG,USDC,-291163.2,-291163.2
2024Q3 Unspent,Sponsorship SG,Sponsorship SG,ETH,96.21742335267906,325951.91639493674
