Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q2,Ecosystem,Support,USDC,13877.0,13873.02
2022Q2 Unspent,Support SG,Support SG,ETH,0.0,0.0
2022Q2 Unspent,Support SG,Support SG,ENS,0.0,0.0
2022Q2 Unspent,Support SG,Support SG,USDC,13877.0,13877.0
2022Q3,Ecosystem,Support,USDC,66635.620522,66706.86
2022Q3 Unspent,Support SG,Support SG,ETH,0.0,0.0
2022Q3 Unspent,Support SG,Support SG,ENS,0.0,0.0
2022Q3 Unspent,Support SG,Support SG,USDC,80512.620522,80512.620522
2022Q4,Ecosystem,Support,USDC,39025.0,39007.28
2022Q4,Ecosystem,SMM,USDC,6300.0,6300.64
2022Q4 Unspent,Support SG,Support SG,ENS,0.0,0.0
2022Q4 Unspent,Support SG,Support SG,ETH,0.0,0.0
2022Q4 Unspent,Support SG,Support SG,USDC,125837.620522,125837.620522
2023Q1,Ecosystem,Support,ENS,3750.0,42260.509999999995
2023Q1,Ecosystem,Support,USDC,31880.0,31880.0
2023Q1,Ecosystem,SMM,USDC,3900.0,3900.0
2023Q1,Ecosystem,Support,ETH,-1.42507218,-2253.149335443
2023Q1 Unspent,Support SG,Support SG,ETH,-1.42507218,-2563.562344602
2023Q1 Unspent,Support SG,Support SG,ENS,3750.0,49912.5
2023Q1 Unspent,Support SG,Support SG,USDC,161617.620522,161617.620522
2023Q2,Ecosystem,Support,USDC,42320.0,42320.0
2023Q2,Ecosystem,SMM,USDC,3900.0,3900.0
2023Q2 Unspent,Support SG,Support SG,ETH,-1.42507218,-2645.931516606
2023Q2 Unspent,Support SG,Support SG,USDC,207837.620522,207837.620522
2023Q2 Unspent,Support SG,Support SG,ENS,3750.0,32287.499999999996
2023Q3,Ecosystem,Support,USDC,19000.0,19000.0
2023Q3 Unspent,Support SG,Support SG,USDC,226837.620522,226837.620522
2023Q3 Unspent,Support SG,Support SG,ENS,3750.0,28425.0
2023Q3 Unspent,Support SG,Support SG,ETH,-1.42507218,-2378.44546842
2023Q4,Ecosystem,Support,USDC,9833.0,9833.0
2023Q4,Ecosystem,SMM,USDC,1125.325847,1125.325847
2023Q4 Unspent,Support SG,Support SG,ETH,-1.42507218,-3271.5382036259994
2023Q4 Unspent,Support SG,Support SG,ENS,3750.0,36900.0
2023Q4 Unspent,Support SG,Support SG,USDC,237795.946369,237795.946369
2024Q1,Ecosystem,Support,USDC,66421.674104,66421.674104
2024Q1,Ecosystem,Support,ENS,1250.0,15925.0
2024Q1,Ecosystem,Support,ETH,-19.00000782,-43119.9477472554
2024Q1 Unspent,Support SG,Support SG,USDC,304217.620473,304217.620473
2024Q1 Unspent,Support SG,Support SG,ENS,5000.0,108450.0
2024Q1 Unspent,Support SG,Support SG,ETH,-20.42508,-71869.728996
