Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q3,Ecosystem,Websites,USDC,8000,7987.47
2022Q3 Unspent,Websites SG,Websites SG,USDC,8000,8000.0
2022Q3 Unspent,Websites SG,Websites SG,ENS,0,0.0
2022Q3 Unspent,Websites SG,Websites SG,ETH,0,0.0
2022Q4,Ecosystem,Websites,USDC,15000,15001.89
2022Q4 Unspent,Websites SG,Websites SG,USDC,23000,23000.0
2022Q4 Unspent,Websites SG,Websites SG,ENS,0,0.0
2022Q4 Unspent,Websites SG,Websites SG,ETH,0,0.0
2023Q1,Ecosystem,Websites,ENS,500,8150.2
2023Q1,Ecosystem,Websites,USDC,2000,2000.0
2023Q1,Ecosystem,Websites,ETH,-5,-8208.05
2023Q1 Unspent,Websites SG,Websites SG,USDC,25000,25000.0
2023Q1 Unspent,Websites SG,Websites SG,ENS,500,6655.0
2023Q1 Unspent,Websites SG,Websites SG,ETH,-5,-8994.5
